organization,package,month,commits
swift-primitives,swift-clock-primitives,2026-01,9
swift-primitives,swift-clock-primitives,2026-02,4
swift-primitives,swift-clock-primitives,2026-03,11
swift-primitives,swift-clock-primitives,2026-04,3
swift-primitives,swift-coder-primitives,2026-01,2
swift-primitives,swift-coder-primitives,2026-02,2
swift-primitives,swift-coder-primitives,2026-03,3
swift-primitives,swift-coder-primitives,2026-04,4
swift-primitives,swift-collection-primitives,2026-01,34
swift-primitives,swift-collection-primitives,2026-02,10
swift-primitives,swift-collection-primitives,2026-03,8
swift-primitives,swift-collection-primitives,2026-04,3
swift-primitives,swift-comparison-primitives,2026-01,18
swift-primitives,swift-comparison-primitives,2026-02,3
swift-primitives,swift-comparison-primitives,2026-03,8
swift-primitives,swift-comparison-primitives,2026-04,4
swift-primitives,swift-complex-primitives,2026-01,8
swift-primitives,swift-complex-primitives,2026-02,4
swift-primitives,swift-complex-primitives,2026-03,2
swift-primitives,swift-complex-primitives,2026-04,3
swift-primitives,swift-continuation-primitives,2026-01,4
swift-primitives,swift-continuation-primitives,2026-02,2
swift-primitives,swift-continuation-primitives,2026-03,2
swift-primitives,swift-continuation-primitives,2026-04,3
swift-primitives,swift-cpu-primitives,2026-01,10
swift-primitives,swift-cpu-primitives,2026-02,2
swift-primitives,swift-cpu-primitives,2026-03,5
swift-primitives,swift-cpu-primitives,2026-04,4
swift-primitives,swift-cyclic-index-primitives,2026-01,2
swift-primitives,swift-cyclic-index-primitives,2026-02,4
swift-primitives,swift-cyclic-index-primitives,2026-03,2
swift-primitives,swift-cyclic-index-primitives,2026-04,3
swift-primitives,swift-cyclic-primitives,2026-01,5
swift-primitives,swift-cyclic-primitives,2026-02,6
swift-primitives,swift-cyclic-primitives,2026-03,3
swift-primitives,swift-cyclic-primitives,2026-04,3
swift-primitives,swift-decimal-primitives,2026-01,11
swift-primitives,swift-decimal-primitives,2026-02,2
swift-primitives,swift-decimal-primitives,2026-03,2
swift-primitives,swift-decimal-primitives,2026-04,3
swift-primitives,swift-dependency-primitives,2026-01,9
swift-primitives,swift-dependency-primitives,2026-02,5
swift-primitives,swift-dependency-primitives,2026-03,6
swift-primitives,swift-dependency-primitives,2026-04,3
swift-primitives,swift-diagnostic-primitives,2026-01,2
swift-primitives,swift-diagnostic-primitives,2026-02,2
swift-primitives,swift-diagnostic-primitives,2026-03,2
swift-primitives,swift-diagnostic-primitives,2026-04,3
swift-primitives,swift-dictionary-primitives,2026-01,24
swift-primitives,swift-dictionary-primitives,2026-02,18
swift-primitives,swift-dictionary-primitives,2026-03,19
swift-primitives,swift-dictionary-primitives,2026-04,5
swift-primitives,swift-dimension-primitives,2026-01,20
swift-primitives,swift-dimension-primitives,2026-02,8
swift-primitives,swift-dimension-primitives,2026-03,4
swift-primitives,swift-dimension-primitives,2026-04,4
swift-primitives,swift-driver-primitives,2026-01,1
swift-primitives,swift-driver-primitives,2026-02,2
swift-primitives,swift-driver-primitives,2026-03,2
swift-primitives,swift-driver-primitives,2026-04,3
swift-primitives,swift-effect-primitives,2026-01,6
swift-primitives,swift-effect-primitives,2026-02,2
swift-primitives,swift-effect-primitives,2026-03,5
swift-primitives,swift-effect-primitives,2026-04,3
swift-primitives,swift-endian-primitives,2026-01,2
swift-primitives,swift-endian-primitives,2026-02,2
swift-primitives,swift-endian-primitives,2026-03,2
swift-primitives,swift-endian-primitives,2026-04,4
swift-primitives,swift-equation-primitives,2026-01,8
swift-primitives,swift-equation-primitives,2026-02,3
swift-primitives,swift-equation-primitives,2026-03,7
swift-primitives,swift-equation-primitives,2026-04,4
swift-primitives,swift-error-primitives,2026-01,4
swift-primitives,swift-error-primitives,2026-02,2
swift-primitives,swift-error-primitives,2026-03,1
swift-primitives,swift-error-primitives,2026-04,3
swift-primitives,swift-finite-primitives,2026-01,18
swift-primitives,swift-finite-primitives,2026-02,10
swift-primitives,swift-finite-primitives,2026-03,3
swift-primitives,swift-finite-primitives,2026-04,4
swift-primitives,swift-formatting-primitives,2026-01,12
swift-primitives,swift-formatting-primitives,2026-02,2
swift-primitives,swift-formatting-primitives,2026-03,3
swift-primitives,swift-formatting-primitives,2026-04,3
swift-primitives,swift-geometry-primitives,2026-01,13
swift-primitives,swift-geometry-primitives,2026-02,7
swift-primitives,swift-geometry-primitives,2026-03,6
swift-primitives,swift-geometry-primitives,2026-04,3
swift-primitives,swift-graph-primitives,2026-01,13
swift-primitives,swift-graph-primitives,2026-02,9
swift-primitives,swift-graph-primitives,2026-03,7
swift-primitives,swift-graph-primitives,2026-04,3
swift-primitives,swift-handle-primitives,2026-01,3
swift-primitives,swift-handle-primitives,2026-02,2
swift-primitives,swift-handle-primitives,2026-03,2
swift-primitives,swift-handle-primitives,2026-04,4
swift-primitives,swift-hash-primitives,2026-01,13
swift-primitives,swift-hash-primitives,2026-02,4
swift-primitives,swift-hash-primitives,2026-03,3
swift-primitives,swift-hash-primitives,2026-04,6
swift-primitives,swift-hash-table-primitives,2026-01,9
swift-primitives,swift-hash-table-primitives,2026-02,18
